Date,bost_amst_in,bost_amst_out,lond_newy_in,lond_newy_out,cern-513_wash_in,cern-513_wash_out
2018-01-13 16:00:00,1881335844,5110693117,1283978540,8151021700,6380555531,14856374882
2018-01-13 17:00:00,1447137008,2967478884,3291597514,7739637868,5088996409,10306879901
2018-01-13 18:00:00,1229357605,4933406748,5718277351,9802575711,5753694869,11023772431
2018-01-13 19:00:00,804250259.9,2500654364,5489146516,5815666347,5042872659,12557584872
2018-01-13 20:00:00,1808377140,5574586027,3579526165,5563811581,5188490983,14774868535
2018-01-13 21:00:00,1039731590,4769057020,2378040299,5197492423,2179360573,17698521537
2018-01-13 22:00:00,837505702.8,3441042218,3202426252,4965473317,2867738774,18564066279
2018-01-13 23:00:00,2222349236,4067229798,4533366962,4861613963,1598149396,13561962053
2018-01-14 0:00:00,2323837081,4035086697,5304338742,4684202901,2354882874,10346502261
2018-01-14 1:00:00,2069944708,4551757459,4269683786,7915941704,1828172466,9552612558
2018-01-14 2:00:00,1785038748,5507952442,6234102360,2828690450,1548166774,886894100.5
2018-01-14 3:00:00,1851290916,3465883240,6756163100,3316311219,1037846372,2437594454
2018-01-14 4:00:00,1672830144,3499059156,8914757276,5339251219,597980315.2,2075813427
2018-01-14 5:00:00,2133771729,5532007017,11195466494,8280523463,1412017001,2115857804
2018-01-14 6:00:00,2642357677,5561138718,13029355239,6111648570,984498183.2,3346174331
2018-01-14 7:00:00,2550512241,6211018994,14746849274,8755115249,268353636.8,2187036644
2018-01-14 8:00:00,2889708771,4407179799,12238787993,11970343719,753583408.6,2195165874
2018-01-14 9:00:00,2619958674,6196783442,15639112572,13301597697,2398081387,9018085008
2018-01-14 10:00:00,2180868072,4152423023,14773443679,12889071641,1508589210,13572020136
2018-01-14 11:00:00,3113720664,5010195933,14261747187,11196418151,1747360669,14871020184
